====== Exif Identifiers ======

^Exif Identifier^Type^Description^
 | exif_image_layer | TEXT | exif tag Image Layer |
 | exif_image_number | TEXT | exif tag Image Number |
 | exif_image_offset | TEXT | exif tag Image Offset |
 | exif_image_source_data | TEXT | exif tag Image Source Data |
 | exif_image_type | TEXT | exif tag Image Type |
 | exif_image_unique_id | TEXT | exif tag Image Unique ID |
 | exif_image_width | TEXT | exif tag Image Width |
 | exif_indexed | TEXT | exif tag Indexed |
 | exif_ink_names | TEXT | exif tag Ink Names |
 | exif_ink_set | TEXT | exif tag Ink Set |
 | exif_intergraph_flag_registers | TEXT | exif tag Intergraph Flag Registers |
 | exif_intergraph_matrix | TEXT | exif tag Intergraph Matrix |
 | exif_intergraph_packet_data | TEXT | exif tag Intergraph Packet Data |
 | exif_interlace | TEXT | exif tag Interlace |
 | exif_interop_index | TEXT | exif tag Interop Index |
 | exif_interop_offset | TEXT | exif tag Interop Offset |
 | exif_interop_version | TEXT | exif tag Interop Version |
 | exif_iptc-_naa | TEXT | exif tag IPTC- NAA |
 | exif_iso | TEXT | exif tag ISO |
 | exif_it8_header | TEXT | exif tag IT8 Header |
 | exif_jpegactables | TEXT | exif tag JPEGACTables |
 | exif_jpegdctables | TEXT | exif tag JPEGDCTables |
 | exif_jpeglossless_predictors | TEXT | exif tag JPEGLossless Predictors |
 | exif_jpegpoint_transforms | TEXT | exif tag JPEGPoint Transforms |
 | exif_jpegproc | TEXT | exif tag JPEGProc |
 | exif_jpegqtables | TEXT | exif tag JPEGQTables |
 | exif_jpegrestart_interval | TEXT | exif tag JPEGRestart Interval |
 | exif_jpegtables | TEXT | exif tag JPEGTables |
 | exif_jpg_from_raw_length | TEXT | exif tag Jpg From Raw Length |
 | exif_jpg_from_raw_start | TEXT | exif tag Jpg From Raw Start |
 | exif_leaf_data | TEXT | exif tag Leaf Data |
 | exif_leaf_sub_ifd | TEXT | exif tag Leaf Sub IFD |
 | exif_lens | TEXT | exif tag Lens |
 | exif_light_source | TEXT | exif tag Light Source |
